,Country Name,Country Code,GDP (current US$),"GNI per capita, Atlas method (current US$)",gdp_per_worker_2021_ppp,"Agriculture, forestry, and fishing, value added (% of GDP)",Gross savings (% of GDP),Final consumption expenditure (annual % growth),Consumer price index (2010 = 100),GDP growth (annual %),Year
208,Singapore,SGP,501427500080,70590,215443.3868,0.02906578239,40.86718772,3.470269634,129.9586804,1.075031751,2023
209,Solomon Islands,SLB,1631286701,2270,5383.835385,,,,152.8977448,2.950085363,2023
210,Sierra Leone,SLE,3809832237,560,5190.564467,64.35417899,,4.820850605,558.1666622,3.430821356,2023
211,El Salvador,SLV,34015620000,4920,25781.83895,4.605443029,18.0639737,3.378907951,127.883032,3.510977066,2023
212,San Marino,SMR,,,,,,,,,2023
213,Somalia,SOM,11679800110,610,9951.674874,,,4.053759628,,3.102961996,2023
214,Serbia,SRB,75187125427,10030,52799.92177,5.234587951,19.42590314,0.7500066359,191.5741583,2.527793336,2023
215,Sub-Saharan Africa (excluding high income),SSA,2030607752382,1640.795824,12017.96933,17.23866411,,2.153534016,,2.954888115,2023
216,South Sudan,SSD,,,,,,,21563.18556,,2023
217,Sub-Saharan Africa,SSF,2032749202553,1642.271365,12017.96933,17.22348302,,2.157273681,,2.955095532,2023
218,Small states,SST,298978248911,14242.72736,62196.8509,,,3.051993607,,4.530624568,2023
219,Sao Tome and Principe,STP,603240749,2480,19342.80253,,,,338.8065907,-0.4744429516,2023
220,Suriname,SUR,3782437296,5360,51367.43287,,,,,2.075459112,2023
221,Slovak Republic,SVK,132793622283,22790,80139.55915,1.953152357,17.58079228,-2.528381001,151.1724597,1.596454971,2023
222,Slovenia,SVN,68216781411,30620,100197.4997,1.873407681,25.0052868,1.578396388,132.2782854,1.586899383,2023
223,Sweden,SWE,593267701033,61650,125841.9976,1.602626732,33.51988177,-1.087178282,133.4683318,-0.1961709946,2023
224,Eswatini,SWZ,4597855845,3860,40653.49464,8.090769727,,,,4.842320853,2023
225,Sint Maarten (Dutch part),SXM,1623165683,,,,,,,3.4,2023
226,Seychelles,SYC,2141450171,16940,,2.816639035,3.160355921,4.329024038,146.6282943,3.161714355,2023
227,Syrian Arab Republic,SYR,,,,,,,,,2023
228,Turks and Caicos Islands,TCA,1402054391,26570,,,,,,1.199996745,2023
229,Chad,TCD,13149325359,710,5643.887364,25.12523115,,1.870530662,143.0495156,4.12231962,2023
230,East Asia & Pacific (IDA & IBRD countries),TEA,21124121301343,10562.6145,37898.3999,7.755169977,,7.22897681,,5.068445549,2023
231,Europe & Central Asia (IDA & IBRD countries),TEC,5466276097557,11375.55636,75203.0362,4.771495627,26.00104621,6.667926048,,3.444980206,2023
232,Togo,TGO,9171261835,1030,8448.353865,18.13083205,,4.019253833,,6.407922156,2023
233,Thailand,THA,514944993834,7180,37476.14143,8.571244592,25.2566618,4.231312544,122.0796723,1.882817461,2023
234,Tajikistan,TJK,12060602009,1440,18640.2438,,,,,8.299999217,2023
235,Turkmenistan,TKM,59887334844,,,,,,,6.3,2023
236,Latin America & the Caribbean (IDA & IBRD countries),TLA,6772781697091,9438.29114,42230.59286,6.798142524,16.91828382,2.344767593,,2.180328956,2023
237,Timor-Leste,TLS,2243142908,2140,10689.10988,,,,,-14.35835699,2023
238,Middle East & North Africa (IDA & IBRD countries),TMN,1629170225346,3965.042878,54029.15341,10.2162827,,2.140075762,,2.802812772,2023
239,Tonga,TON,,,,,,,159.9933,,2023
240,South Asia (IDA & IBRD),TSA,4475567635413,2388.131069,22322.6714,15.98193969,29.15460962,2.614656288,,6.35285494,2023
241,Sub-Saharan Africa (IDA & IBRD countries),TSS,2032749202553,1642.271365,12017.96933,17.22348302,,2.157273681,,2.955095532,2023
242,Trinidad and Tobago,TTO,28139944790,17940,66469.69071,,,,162.7639412,2.10324545,2023
243,Tunisia,TUN,48529595417,3770,42002.4084,9.473220646,,1.529683278,205.3702621,0.4236484077,2023
244,Turkiye,TUR,1108022373260,11650,92658.40583,6.183292268,26.02099263,11.55935988,834.5931428,4.516866508,2023
245,Tuvalu,TUV,62280311.59,7550,,,,,,3.852809195,2023
246,Tanzania,TZA,79158286334,1210,7693.639748,23.71762736,,2.328385083,217.4339866,5.188056392,2023
247,Uganda,UGA,49272882214,980,7396.127643,23.76798917,,4.407985304,209.9313482,5.231874106,2023
248,Ukraine,UKR,178757021387,5070,,7.405367993,10.33158184,6.863160397,429.185403,5.3,2023
249,Upper middle income,UMC,29403677430761,10587.60629,43258.48681,7.087035991,,6.120554421,,4.346249275,2023
250,Uruguay,URY,77240831587,19530,64625.42833,5.608520291,13.7624536,2.815607737,277.191092,0.3674751756,2023
251,United States,USA,27360935000000,80300,150078.6761,,,,139.7357936,2.542700299,2023
252,Uzbekistan,UZB,90889149307,2360,23378.05474,22.99171738,34.86766853,5.217289387,,5.988975806,2023
253,St. Vincent and the Grenadines,VCT,1065962963,10070,43008.11866,4.153782009,,,123.4111221,6.016109145,2023
254,"Venezuela, RB",VEN,,,,,,,,,2023
255,British Virgin Islands,VGB,,,,,,,,,2023
256,Virgin Islands (U.S.),VIR,,,,,,,,,2023
257,Viet Nam,VNM,429716969050,4180,24518.89794,11.96048582,,,183.0734101,5.046430736,2023
258,Vanuatu,VUT,1126313359,3660,7446.554095,,,,,2.212941771,2023
259,World,WLD,105435039507024,13211.84617,47922.10783,4.122959103,,,,2.719333366,2023
260,Samoa,WSM,934100336.3,4020,19524.71257,11.02189712,23.04725201,0.7480824652,143.1688228,7.991982644,2023
261,Kosovo,XKX,10438351483,5980,,7.770515832,26.6346862,4.084311453,143.1714686,3.337894699,2023
262,"Yemen, Rep.",YEM,,,,,,,,,2023
263,South Africa,ZAF,377781600986,6750,47904.8835,2.526921136,13.62953831,1.053732192,194.8394664,0.6016623031,2023
264,Zambia,ZMB,28162630954,1320,11326.13129,2.791978407,,,369.000077,5.832474135,2023
265,Zimbabwe,ZWE,26538273499,1740,9824.961633,27.00542653,,,,4.955781703,2023
